;descrizione;prezzo;location;link;immagine
0;Notebook Asus x201e;100;Novate Milanese, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/460396662533654/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275567292_7175480832493703_1237439931236494400_n.png?stp=c151.0.260.260a_dst-png_p261x260&_nc_cat=104&ccb=1-5&_nc_sid=c48759&_nc_ohc=lzoi7_5kQ9IAX-l2zuV&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-TFK6KpU98cJRRGW2CD4q-q2WAuB9Rmwjgg7KDzwAdhQ&oe=6279862F"">"
1;"Acer Amd Dual Core 1.65GHz 
Ram 4GB - Hard Disk 500GB 
Windows 10Pro - Pollici 17.3""";100;Melegnano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/2177595679061937/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278056276_5732446596771179_4913453718009985029_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=107&ccb=1-5&_nc_sid=c48759&_nc_ohc=yLQvMU5g0XIAX-nxCmr&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8Cz1ApY3sn9L-EhiLp7IGaptJ1riytjMTz3XOOFE8zeQ&oe=62788EA2"">"
2;Laptop asus chromebook;100;Stradella, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1136448760452747/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t39.30808-6/275731198_104743135509170_5078365059636954513_n.jpg?stp=c64.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-5&_nc_sid=843cd7&_nc_ohc=tu4dBrX7fSAAX-wzh6m&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-Mxg5dFfSOZUo8Kjk0q31Gv0yYk0Xb_cdTCcVZ_40jGg&oe=62787A85"">"
3;COMPUTER LENOVO IDEAPAD 3 (CB 11IGL05)  Chromebook  64 GB - 4 GB RAM  - LEGGERE ANNUNCIO Grazie;140;Busto Arsizio, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/364327618953204/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278051078_7241119289291584_2233440421289597781_n.jpg?stp=c100.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-5&_nc_sid=c48759&_nc_ohc=D3BZhOaKQiQAX9-vY2Q&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_lOyHR88ZIDDZUAAVrg5boODqQeJqaG1EgqDjd28201A&oe=62791AB6"">"
4;HP Probook 650 G2 I5 Display 15.6;150;Nova Milanese, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1264411913968002/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t39.30808-6/278566735_5697106533651011_6350600168027416729_n.jpg?stp=c44.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-5&_nc_sid=843cd7&_nc_ohc=mbs3djq7IJQAX9HiEsq&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT81cAVki-Q5tKfMh8CiEx6zLJWfxT5BtTwRlRL_PbEfbA&oe=62794FB1"">"
5;Chromebook Samsung XE350XBA;150;Gattinara, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/207734168234721/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/272204653_5085192241525506_1877433462211403907_n.jpg?stp=c0.151.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=qImXaCfQVeUAX9YPG0x&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9qyvVgv1cHfRxHLGvPH9_MJP3cAWT3k-L9NaHNZKwUYw&oe=62791812"">"
6;Chromebook;160;Gaggiano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/266324748973177/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278284155_5273973152650402_8777300543897491640_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=Th2skEQp4x0AX-iYOyD&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8Kp117z3I8T8BpNkT8uxQrpXLsVc99shEUfU5zGZ2evg&oe=62794AD7"">"
7;Galaxy Chromebook Go;160;Podenzano, Emilia Romagna;<a href=https://it-it.facebook.com/marketplace/item/1732437540481021/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/276943438_5027673587280391_4675008125749524877_n.png?stp=c101.0.260.260a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=VnDq3dHFcUEAX9uPTDg&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT83zfEmWcfKVr_QZYw4MbkO-qRXy6TBZ9o2ccIhQ1paMw&oe=6278840A"">"
8;Samsung Chromebook GO;160;Novara, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1064157274168023/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278688962_4746716258791530_8595220218148856441_n.png?stp=c28.0.260.260a_dst-png_p261x260&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=ixmM_VVncWYAX-Sd5Pq&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT90uofNgSicsDWp5AHP8vOgPKh2TqKKs8aarabuziDSmg&oe=6278FA42"">"
9;Samsung Galaxy Chromebook Go (14'') - Come nuovo (color Silver) vendo per conto di un amico + borsa;170;Brescia, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1074470203108811/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277719449_5245042715540108_8769394192698683322_n.png?stp=c0.101.261.261a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=dzdI4sV3OdUAX9Nc95Y&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_BLhF9u035JjAGutSULQg9JT2quD7vixcVcLOHYd-WHg&oe=6277CDA7"">"
