;descrizione;prezzo;location;link;immagine
0;I Mac;15.0;Caselle Torinese, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/2203206343168874/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274852591_5060770434013177_182315881401824884_n.png?stp=c151.0.260.260a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=CwnPvnjTlo4AX__pyvF&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-SW9GHXwcx-UU2xROOtEbGF0sp4_oUPjQ-sI6t7Q5_0g&oe=6277F343"">"
1;iMac da collezione;35.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1053427388571532/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275656146_6229313923760129_1615457327716494008_n.png?stp=c0.101.261.261a_dst-png_p261x260&_nc_cat=101&ccb=1-5&_nc_sid=c48759&_nc_ohc=5sgiN5dBz4EAX8xoLpx&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8Cwsv8Zs2amHosVovcgEKRwRLPtiU-Z8lfUGSrv9a4lg&oe=6277809A"">"
2;PC.iMac;50.0;Moncalieri, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/3144281949151392/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/279329686_4902310979892247_2763958418587129651_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=fFGr3b04HQMAX-XpWO9&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9b4nsgjqU5JWpCoov_p7IzZjGjqbF5il4nYzS1nkXhUA&oe=627846D7"">"
3;Case imac Apple A1224;50.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/655303539247586/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/271180083_6696623870411686_5045578101871551872_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-5&_nc_sid=c48759&_nc_ohc=b7LDJkLpbJYAX8xyF79&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9atHDvZ2ApMCOpUtr2I_OZtU7YcwgmxBrs1wMGh5g4ZQ&oe=627842DF"">"
4;Tastier Wireless iMac;60.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/383574366593025/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274300936_4826409490740465_8894163903442230307_n.png?stp=c158.0.260.260a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=DIbVlq8bbsoAX_0LcVR&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9KeXUdkbLT6aRdEuVMtp8POwmT_SzYaTkjtqAFUO5mWQ&oe=6276BE35"">"
5;Imac G5 Vintage per collezione;70.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1354013478432467/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273718999_4969557713101882_2177274796719118270_n.png?stp=c0.9.261.261a_dst-png_p261x260&_nc_cat=101&ccb=1-5&_nc_sid=c48759&_nc_ohc=RDKkC3C1TQwAX_7XOnj&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-DqKnCKGBfqbVjLJg9qcpz5vfly0pdA6wyoLFndvlxuA&oe=62784C5B"">"
6;Apple iMac 8.1 del 2008 con tastiera originale 20”;99.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/531503091409458/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274231108_4879945632090371_8558758148825724123_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=102&ccb=1-5&_nc_sid=c48759&_nc_ohc=_AziyHETK5YAX9S93JL&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9Ig2GCStK4fbIM210W7fLiw1er2rs-pepQcPh6-1em4w&oe=62785F23"">"
7;Imac 20 del 2008 non funzionante;100.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/508178834183311/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/276170319_4786058138170134_6062889065819348080_n.png?stp=c0.0.260.260a_dst-png_p261x260&_nc_cat=105&ccb=1-5&_nc_sid=c48759&_nc_ohc=jbq-zr82JSwAX9aly8X&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-OZHDP7HNF226eACFt4Uxzm3p2duQTcPyWo3VUt0YnuQ&oe=62782177"">"
8;Imac  21.5;100.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/399453061680914/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278121536_7271264269614959_3455863476685068663_n.png?stp=c101.0.260.260a_dst-png_p261x260&_nc_cat=105&ccb=1-5&_nc_sid=c48759&_nc_ohc=ff33zr42o0AAX_Cz-XA&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9EQM4MfFYqfcHqVDSlVppNnWP1YtvVYR8GW0Auj1YruQ&oe=6278A7BB"">"
9;iMac 2011 tenuto benissimo;150.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1128045334610139/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275291443_4755059707925940_5868340395534925439_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=102&ccb=1-5&_nc_sid=c48759&_nc_ohc=Z4Q7cJ0vH48AX8wczwb&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_W3L2hhXVfaGXQiEi5WEM34aa-VfaNYO2KLtUwFMJKuQ&oe=6277794F"">"
